id,q_gram_set
c76c6f74f0353e50d960bc639925cf0ff858bd2ec9d1aa198e526b5cae6c8390,"{'ce', 'co', 'ri', 'ie', 'ui', 'pr', 'ic', 'ou'}"
02e3b92ea890d78d52efe7ff1b9988fc2e47de6fc78e768d06680364318a1007,"{'pv', 'ab', 'bi', 'bb', 'ce', 'ie', 'ic', 'vi'}"
49b3d614977bfbda5ff0b0b95f65aee35ee7bd77c527881dc570f3b13ff4f303,"{'ey', 'ce', 'ri', 'pr', 'ic', 'ac', 'la'}"
dea8b06893e47e989c9e00c0704679f36228687145dde192341608ceba584124,"{'pr', 'mu', 'ue', 'sa', 'ic', 'ce', 'ri', 'am', 'el'}"
1fb2631c781ee60aaef6f53ce41b229862c8ff860c717506ea9c9ff6f504d5fa,"{'pr', 'ic', 'se', 'jo', 'ep', 'ce', 'ri', 'ph', 'os'}"
8ccee5821ff11dbc355a5c807547387a02c9a4593482568a180b80c7cebfdb32,"{'pr', 'ic', 'sh', 'jo', 'ce', 'ri', 'os'}"
736198f9e595dced46226147a512d55cbfd463970830de8cb1200476a77ecf8d,"{'ig', 'pa', 'll', 'ai', 'ge', 'be', 'el'}"
cb6f54e14c4dca79e3bbd65a869a6a0b17d341f1b8feb7fcfd65f349905fb430,"{'se', 'll', 'ru', 'ss', 'us', 'na', 'ma', 'at', 'tm', 'el', 'an'}"
5b71563f7e07f618063141fcc099d7b6b0b07c19de73b0351f28723a8296e2bf,"{'ab', 'nn', 'om', 'ho', 'th', 'ms', 'na', 'on', 'so', 'be', 'el', 'an'}"
3acfcfaca7a64a3962bd9a9128dd6e9f8f8e0d939cb9d171eb75568b420ea301,"{'mo', 'll', 'wa', 'ts', 'at', 'ol', 'on', 'so', 'ly'}"
f945f8fd0850abedbb8d7f3f0a1b6997406a73b7d3e73965180aba9eadf1edde,"{'ob', 'bi', 'in', 'ro', 'on', 'so', 'ak', 'za', 'ns'}"
9a691642e2f777240a875dae79c5140566754847da8ad12ee9672fc775205dc3,"{'gr', 'ha', 'ra', 'am', 'ah', 'ke', 'dl', 'ak', 'la'}"
ecb5ebea846b400c65d6129c2af26363039a70cade80d87e6ed9b2e8efc7a5fb,"{'od', 'za', 'ra', 'oo', 'ar', 'wo'}"
54921c7d25b57fcff9f674e316f53637a79416603e8c3e9abdd0b7e4929302f6,"{'me', 'yl', 'al', 'lm', 'ty', 'pa', 'er', 'le'}"
7a67836ee86289f162c937f5941388b7b8b1213c57f5f4fd10d5792ab9f63110,"{'sh', 'sc', 'ca', 'aw', 'ha', 'ar', 'os'}"
3a455627e2a46192c67a679595f3546c90a74d9e3af661274c4006b451b43cde,"{'sh', 'aw', 'vi', 'ha', 'ie', 'ev'}"
04aaec1ce9b581e6e214d82c0e646bc3726444763296634479fe4197ebe2f9f2,"{'li', 'sh', 'ia', 'aw', 'ha', 'am'}"
2f02d319e22f4d6917d78eefb8257c0fadb63c31325cda3e04baa48ba00b1a46,"{'nd', 'rs', 'er', 'on', 'de', 'so', 'ak', 'an', 'za'}"
31328e07ae01b06c085e1b855afb9b52c5f27e91bbce642db14ab9aa180d55a1,"{'nd', 'ao', 'so', 'na', 'er', 'on', 'mi', 'de', 'om', 'rs', 'an'}"
44d3b2903dc146f649e6c2be5a5e5e09a68135eae859d5cedbf74d3e445363af,"{'nd', 'li', 'll', 'ie', 'il', 'er', 'on', 'mi', 'de', 'so', 'rs', 'an'}"
6643e4812eecde606b0828720d4b2819269cd2ee5f632e49c1c7a4a2e9571af5,"{'nd', 'li', 'am', 'ia', 'er', 'on', 'de', 'so', 'rs', 'an'}"
2a621f0490445aa39f85d7e44447bc88b9a281dfe49a16602c3f85e0356355c2,"{'nd', 'es', 'sc', 'ca', 'ce', 'ra', 'fr', 'er', 'on', 'de', 'so', 'rs', 'an', 'nc'}"
162e513104865f7c745e8925ecbc8885f82a2760e121553ad55a7eb420f45a8e,"{'ne', 'es', 'pa', 'at', 'on', 'tr', 'ry', 'yk', 'jo'}"
4e2f6fa9cfcc2e4584e89bf80e018e715d27410cd1ad012693635fbec4e4fbc7,"{'es', 'ad', 'jo', 'ne', 'ma', 'on', 'so', 'is', 'di'}"
0c1ad4da669a4dd2a09b3bad6fffb453dc3f06c968ecad3f32946005a4a4b68d,"{'me', 'es', 'ar', 'jo', 'ch', 'rl', 'te', 'ha', 'om', 'ot', 'tt', 'lo'}"
087df1707e62c38d99ed42d15940a2a264d62fc93c7e70fcb2ff2238fef25710,"{'ng', 'vi', 'ki', 'in', 'ie', 'ev'}"
7dbf4cc68c68809ea97d70d7449f4b3c32ee95117e4c8caea9b04273fc3c2927,"{'li', 'ch', 'rl', 'ki', 'ng', 'ha', 'ie', 'ar', 'in'}"
1845d9b7147bf20608006e9032db8474ca45843223565af325e8048e1e5e8820,"{'il', 'ng', 'bi', 'll', 'ki', 'in', 'ly'}"
dbf045602a0b0650ecfe2a53e70107933ee7a01fa7b610f67c424a599c39dd8e,"{'ng', 'ki', 'in', 've', 'ev'}"
620ff2109e977f1778eff9b0bff3513f4497d94ff987bccefbfaa229cc1bcb02,"{'li', 'ng', 'ia', 'vi', 'ol', 'ki', 'iv', 'in'}"
7126e55291f322c4cd24ce54cac508cee929258a7cbe0988c36b87069625711e,"{'ng', 'ac', 'gr', 'ce', 'ra', 'ki', 'in'}"
00fd51d691fff08f726970be23bb5c277aedc1e9cf45ccacec1eedc129fccd14,"{'li', 'ng', 'iz', 'ki', 'el', 'za', 'in'}"
2db10e7fa2ad129806715e06028b8e9c1a8cea7794ecc4ce2d9ca81f1243cca6,"{'mm', 'mo', 'oh', 'am', 'ad', 'ki', 'ng', 'ma', 'ha', 'in'}"
cf2bc755239a25832089c7b64bd8344b7d04b657b4e2ce74a0e2f87bf48ca36f,"{'en', 'th', 'ma', 'at', 'he', 'ws', 'ew', 'be', 'tt'}"
96925012c3c44aee82c7ee1f8a9a08075c19aee606b348dd395d0877f103c0c0,"{'th', 'ea', 'or', 'ew', 'no', 'ma', 'at', 'he', 'ws', 'le', 'el', 'tt', 'an'}"
8570760c0f243e082a70806233498ac7e83fc6e2e8dfea1ab8e7cb18223cd71c,"{'el', 'th', 'am', 'ue', 'ma', 'at', 'he', 'ws', 'ew', 'mu', 'sa', 'tt'}"
7b3be9e8913b0841fceead40e4229b8513c639b6f43ea7093fd52541a2edd5d4,"{'rt', 'th', 'ar', 'ew', 'ma', 'at', 'he', 'ws', 'ha', 'tt'}"
46ab160fe4435791c62e85472311b8bbc4ab0f780c035c57240dd1f7ea506464,"{'as', 'ho', 'th', 'ar', 'ma', 'rr', 'ry', 'ha', 'om'}"
64bf67632793ac0a1426f04292834cfa6087c1c78772fabaaf2427dc35311f50,"{'as', 'ho', 'th', 'ma', 'om'}"
4dcb1ce110bca0d6323ecf19ea31f628569450bf71ebc7ff6aaff04b7ca184c8,"{'yl', 'as', 'ho', 'ay', 'th', 'ma', 'om', 'la'}"
d03f215982c9532b2230c461cdbc555f859edae09f2f4e03970f58c03d23d78e,"{'nn', 'en', 'ax', 'ne', 'ma', 'be', 'tt', 'et'}"
f25dd335565957cc457a80efabc0d60cef352f9f888cb8618052c3cc2b06e7c7,"{'ey', 'ri', 'rv', 'iy', 'ar', 've', 'ya', 'ka', 'ha', 'ak', 'za'}"
2b5649f7ebc4015617e9c9a00b494eefa782c0c7fab18911122072c4dcab0c5c,"{'id', 'ey', 'av', 'rv', 've', 'ar', 'da', 'vi', 'ha'}"
bf61c950f116d2e51f276730b48e3de6ac2f353201f2bb0e9d90a5ec86f319dc,"{'nd', 'wi', 'le', 'bb', 'ba', 'do', 'on', 'ew', 'is', 'an'}"
adedee53b0bb08f08181cc9d3c3342053ec476b25d21ff98d4fbb351444dc603,"{'li', 'ab', 'wi', 'th', 'iz', 'ew', 'be', 'el', 'is', 'le', 'za', 'et'}"
d85424612490dd0c96c2535ff7023f0e55691f659467ef920dc31be0f240a331,"{'rt', 'ob', 'ge', 'eo', 'or', 'ts', 'rg', 'er', 'ro', 'be'}"
9ae0783fd971c2174fc234928acb2ef2c9df031915f64dc3a0e8f461fd1d3225,"{'fi', 'ey', 'nl', 'st', 'os', 'fo', 'te', 'er', 'le', 'in'}"
3147282515ae840403645da6694ef8193377640e9b923bcc2f1b55d06fc08ff6,"{'ey', 'ai', 'en', 'ay', 'ba', 'ja', 'il', 'yd', 'de', 'le'}"
